"匹配的商品 ","商品定位","已添加为","展示量","点击次数","点击率 (CTR)","支出(USD)","单次点击成本 (CPC)(USD)","订单","销售额(USD)","ACOS","ROAS","转化率"
"b0b57qf5s2","substitutes","","9","2","22.22",0.86,0.43,"0",0,,"0.0","0.0"
"bag hardware","loose-match","","23","2","8.70",1.04,0.52,"0",0,,"0.0","0.0"
"4.5 zipper","loose-match","","33","4","12.12",2.08,0.52,"0",0,,"0.0","0.0"
"b072zfnv3b","substitutes","","5","2","40.00",0.86,0.43,"0",0,,"0.0","0.0"
"iridescent zipper","loose-match","","27","6","22.22",3.19,0.53,"1",15.99,"19.949968730456533","5.012539184952979","16.666666666666664"
"zipper tape #3","loose-match","","25","5","20.00",2.81,0.56,"0",0,,"0.0","0.0"
"metal zippers","close-match","","112","7","6.25",4.18,0.6,"0",0,,"0.0","0.0"
"rose gold zipper tape","loose-match","","1","1","100.00",0.62,0.62,"0",0,,"0.0","0.0"
"purse making supplies","loose-match","","10","2","20.00",1.09,0.54,"0",0,,"0.0","0.0"
"b0cn6w6xjb","substitutes","","22","4","18.18",1.76,0.44,"0",0,,"0.0","0.0"
"zipper with rainbow teeth","close-match","","17","2","11.76",1.05,0.53,"0",0,,"0.0","0.0"
"zipper tape with pulls","close-match","","6","1","16.67",0.61,0.61,"0",0,,"0.0","0.0"
"plastic zippers","loose-match","","12","3","25.00",1.61,0.54,"0",0,,"0.0","0.0"
"zipper by the yard with pulls #5","close-match","","867","17","1.96",9.59,0.56,"2",31.98,"29.98749218261414","3.334723670490093","11.76470588235294"
"b0cw1hgnd1","substitutes","","3","2","66.67",0.86,0.43,"0",0,,"0.0","0.0"
"dark purple #5 zipper by the yard","loose-match","","2","2","100.00",1.09,0.55,"0",0,,"0.0","0.0"
"rainbow bag hardware","loose-match","","4","2","50.00",1.04,0.52,"0",0,,"0.0","0.0"
"zipper tape by the yard","close-match","","60","3","5.00",1.68,0.56,"1",15.99,"10.506566604127581","9.517857142857142","33.33333333333333"
"purple zipper tape","close-match","","61","6","9.84",3.47,0.58,"0",0,,"0.0","0.0"
"rainbow zipper","close-match","","765","37","4.84",21.07,0.57,"6",95.94,"21.96164269335001","4.553393450403417","16.216216216216218"
"b0bqqyzhgj","substitutes","","26","3","11.54",1.29,0.43,"0",0,,"0.0","0.0"
"12 inch zipper","loose-match","","14","4","28.57",2.13,0.53,"1",15.99,"13.320825515947465","7.507042253521127","25.0"
"#5 zipper tape purple","close-match","","31","2","6.45",1.11,0.55,"0",0,,"0.0","0.0"
"colorful zipper","close-match","","39","2","5.13",1.23,0.61,"1",15.99,"7.6923076923076925","13.0","50.0"
"rainbow zipper tape","close-match","","1759","33","1.88",18.65,0.57,"4",60.44,"30.857048312375905","3.240750670241287","12.121212121212121"
"b08kprkcxp","substitutes","","7","2","28.57",0.86,0.43,"0",0,,"0.0","0.0"
"b0bx6d6rbz","substitutes","","6","2","33.33",0.81,0.41,"0",0,,"0.0","0.0"
"brown zipper tape ￼","close-match","","4","1","25.00",0.61,0.61,"0",0,,"0.0","0.0"
"heavy duty zipper","loose-match","","96","4","4.17",2.08,0.52,"1",15.99,"13.008130081300814","7.6875","25.0"
